runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits
36,CA_Sacramento.Metro,Market,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-405258.4248160301,-405464.852688224,-206.42787219386082,-81457.37774323861,-61096.30267101317,20361.07507222543,20154.64720003157,-70287.11197927843,70080.68410708461,-206.4278721938026,118.2113033151916,20272.85850334676
37,CA_San.Diego-Lindbergh.Field.722900_TMY3,Restaurant,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-496728.4500066135,-495312.79646443686,1415.6535421766455,-90633.56417674279,-66065.9902776904,24567.573899052382,25983.227441229028,-67682.46392221205,69098.11746438874,1415.6535421766894,0.0,25983.227441229028
38,CA_San.Diego-Lindbergh.Field.722900_TMY3,Hospital,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-259662.216523186,-265102.67891158216,-5440.462388396147,-42487.326783878896,-36858.35158856123,5628.975195317667,188.51280692152068,-25102.925846497223,19662.46345810105,-5440.4623883961685,5977.481136106091,6165.993943027614
39,CA_San.Diego-Lindbergh.Field.722900_TMY3,Hotel,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-354514.5708329557,-352471.5414389146,2043.0293940411066,-63496.34403457082,-44354.760342933,19141.583691637832,21184.61308567894,-40837.53549692402,42880.56489096511,2043.0293940410995,0.0,21184.61308567894
40,CA_San.Diego-Lindbergh.Field.722900_TMY3,Office,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-574125.7719726029,-581635.741954124,-7509.969981520902,-138200.2469775308,-110383.50763650656,27816.739341024248,20306.76935950335,-77608.10957691699,70098.13959539616,-7509.9699815208305,6725.3577701699205,27032.127129673267
41,CA_San.Diego-Lindbergh.Field.722900_TMY3,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-409322.06551343686,-421957.3057942415,-12635.240280804517,-108763.90000413553,-80995.42410074093,27768.47590339459,15133.235622590071,-77129.52814004867,64494.28785924414,-12635.240280804528,14130.244735252505,29263.480357842578
42,CA_San.Diego-Lindbergh.Field.722900_TMY3,Apartment,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-359297.16091487784,-349843.61132149794,9453.549593379896,-76903.63262120777,-48415.513481965114,28488.11913924267,37941.668732622566,-59928.55715211617,69382.10674549607,9453.549593379896,63.868517902840786,38005.53725052541
43,CA_San.Diego-Lindbergh.Field.722900_TMY3,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-375358.96196777397,-387661.73725512094,-12302.775287346973,-107757.29426750382,-76900.4075210152,30856.886746488628,18554.11145914165,-73989.65988190497,61686.88459455804,-12302.775287346944,14384.265393117304,32938.37685225897
44,CA_San.Diego-Lindbergh.Field.722900_TMY3,Restaurant,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-460898.95368781296,-461766.68707278045,-867.7333849674907,-80306.68103860143,-60332.59152393048,19974.08951467096,19106.35612970347,-59794.662661064176,58926.9292760966,-867.7333849675706,0.0,19106.35612970347
45,CA_San.Diego-Lindbergh.Field.722900_TMY3,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-645616.3063069364,-648280.3803732328,-2664.07406629622,-191643.61984752727,-160084.8613511129,31558.758496414346,28894.68443011813,-76258.34865858014,73594.27459228397,-2664.074066296176,7404.404130152415,36299.08856027054
46,CA_San.Diego-Lindbergh.Field.722900_TMY3,Hotel,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-384669.27305199,-380006.97126327,4662.301788720011,-74509.56171433612,-50676.34680121666,23833.214913119482,28495.516701839486,-53671.472469622655,58333.77425834264,4662.301788719982,29.20373575557277,28524.720437595053
47,CA_San.Diego-Lindbergh.Field.722900_TMY3,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-324106.9528787252,-340272.70977486763,-16165.756896142442,-81346.46557147743,-57747.37531915656,23599.090252320868,7433.333356178431,-71122.7223074001,54956.96541125768,-16165.756896142411,15585.305656872508,23018.639013050943
48,CA_San.Diego-Lindbergh.Field.722900_TMY3,Market,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-375390.97654234077,-376671.7156837696,-1280.739141428785,-69954.42937379144,-53448.6481093319,16505.78126445954,15225.042123030757,-59715.2844356399,58434.54529421115,-1280.7391414287486,186.1124374701172,15411.154560500872
49,CA_Palm.Springs-Thermal,Restaurant,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-576830.0209740249,-576891.2803436785,-61.25936965364964,-107494.91510816508,-80364.84677082402,27130.06833734108,27068.808967687422,-74210.9209205463,74149.66155089259,-61.25936965370785,0.0,27068.808967687422
50,CA_Palm.Springs-Thermal,Hospital,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-262552.5131521457,-267845.23061289673,-5292.717460751011,-43967.80076071802,-37701.400226958656,6266.40053375937,973.6830730083605,-26891.81885429916,21599.10139354816,-5292.717460750995,6194.8243684857935,7168.507441494156
51,CA_Palm.Springs-Thermal,Hotel,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-327265.6119072619,-324736.0893079826,2529.5225992792984,-58741.598100845324,-41672.49426643035,17069.103834414982,19598.62643369428,-35712.32815344618,38241.85075272544,2529.522599279262,0.0,19598.62643369428
52,CA_Palm.Springs-Thermal,Office,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-532532.3461376418,-537361.2277886885,-4828.881651046686,-127347.59407724414,-99406.61166627472,27940.982410969435,23112.100759922745,-77838.15421588541,73009.27256483883,-4828.881651046584,5174.930438098624,28287.031198021366
53,CA_Palm.Springs-Thermal,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-477546.7132925411,-485721.4283961818,-8174.7151036406885,-140064.711614865,-104544.2059323105,35520.50568255449,27345.7905789138,-77307.3925927509,69132.67748911018,-8174.715103640717,11230.24140220508,38576.03198111888
54,CA_Palm.Springs-Thermal,Apartment,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-350767.27996489435,-343136.7835202359,7630.496444658434,-70034.3703404399,-48488.9858264224,21545.384514017496,29175.880958675934,-53516.05816025977,61146.554604918165,7630.496444658413,46.378643053555486,29222.25960172948
55,CA_Palm.Springs-Thermal,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-460099.5906807261,-469026.29844665853,-8926.707765932428,-138768.9814272731,-104583.06713812584,34185.91428914727,25259.206523214845,-76334.51827937068,67407.81051343822,-8926.707765932471,10514.732154939007,35773.938678153856
56,CA_Palm.Springs-Thermal,Restaurant,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-525182.4348418515,-526001.3733866606,-818.9385448091198,-96776.29817727619,-71258.61972997453,25517.678447301674,24698.739902492554,-70534.94041247407,69716.00186766486,-818.9385448092073,0.0,24698.739902492554
57,CA_Palm.Springs-Thermal,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-652008.9561673262,-655082.0013207457,-3073.045153419487,-172964.4309107641,-141328.42669321474,31636.004217549347,28562.959064129864,-77148.92357197718,74075.87841855774,-3073.0451534194435,5911.574462497749,34474.53352662761
58,CA_Palm.Springs-Thermal,Hotel,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-398782.183280297,-393181.5087717526,5600.674508544384,-77397.74418421714,-54022.52723194333,23375.216952273808,28975.8914608182,-55976.7408845112,61577.41539305551,5600.674508544304,137.6145682441257,29113.50602906232
59,CA_Palm.Springs-Thermal,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-367116.8905430124,-381360.1608210957,-14243.270278083277,-94808.51402272673,-67900.42384602645,26908.090176700265,12664.819898616988,-74126.19487375786,59882.92459567452,-14243.270278083342,13597.130431358091,26261.950329975083
60,CA_Palm.Springs-Thermal,Market,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-416561.5345230784,-417555.03777872154,-993.5032556431836,-82756.93694440491,-61523.86201993357,21233.074924471322,20239.57166882814,-72301.87950693097,71308.37625128782,-993.5032556431253,172.23295153859226,20411.804620366733
61,CA_San.Francisco.Intl,Restaurant,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-477993.33366338257,-477947.6369159021,45.69674748042598,-84117.10232165184,-62539.412246818,21577.69007483384,21623.386822314264,-60689.899529068476,60735.59627654894,45.69674748046964,10.93985779617651,21634.32668011044
62,CA_San.Francisco.Intl,Hospital,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-259464.33519488052,-259119.8034289333,344.5317659471766,-42424.88010224397,-36812.69182640975,5612.1882758342235,5956.720041781403,-25083.67679139993,25428.20855734709,344.53176594715484,71.53396317614316,6028.254004957546
63,CA_San.Francisco.Intl,Hotel,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-378703.426779241,-376464.9564184168,2238.4703608243144,-69542.5244854225,-47723.320285191345,21819.20420023115,24057.674561055464,-45832.97950256339,48071.44986338769,2238.470360824278,0.0,24057.674561055464
64,CA_San.Francisco.Intl,Office,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-513932.8353648402,-512311.75870162406,1621.0766632160519,-134927.67605275198,-104852.93872009091,30074.737332661083,31695.813995877135,-74365.31716799721,75986.39383121331,1621.076663216096,103.28333213423431,31799.09732801137
65,CA_San.Francisco.Intl,Office,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-415457.48448468116,-415752.4239276965,-294.9394430152606,-113096.05775819233,-77796.9998057802,35299.05795241213,35004.11850939687,-70159.63654436519,69864.6971013499,-294.93944301528967,350.81572857129987,35354.93423796817
66,CA_San.Francisco.Intl,Apartment,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-357026.3147463785,-346811.23367707705,10215.081069301463,-78272.43366770742,-49148.73708699613,29123.69658071129,39338.77765001275,-63013.958282866,73229.03935216751,10215.081069301516,10.633230514456404,39349.410880527204
67,CA_San.Francisco.Intl,School,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-355804.5529376251,-355933.6558491298,-129.10291150468402,-100170.59704253028,-68078.41165968214,32092.185382848125,31963.082471343438,-67834.9132995549,67705.81038805023,-129.10291150468402,436.4409471393972,32399.52341848284
68,CA_San.Francisco.Intl,Restaurant,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-455182.8029351335,-457163.8589089344,-1981.055973800947,-78085.74935778361,-58609.71426180696,19476.035095976666,17494.97912217572,-56540.43547735897,54559.379503557975,-1981.0559738009906,0.8870015973545827,17495.866123773074
69,CA_San.Francisco.Intl,School,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-543971.0022639859,-535888.8521825316,8082.1500814543115,-193474.47421783415,-153515.33164059735,39959.14257723681,48041.29265869112,-70417.99978406075,78500.14986551512,8082.150081454354,129.50598629448274,48170.798644985596
70,CA_San.Francisco.Intl,Hotel,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-394536.50395786023,-389313.0317196047,5223.472238255548,-77805.11042679891,-52315.37281182606,25489.73761497285,30713.2098532284,-58563.749811161855,63787.22204941736,5223.472238255505,91.63323659922727,30804.843089827627
71,CA_San.Francisco.Intl,Office,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-307295.30689255014,-309959.73107142164,-2664.424178871559,-77475.75655571025,-53995.09914844945,23480.657407260802,20816.23322838924,-57809.71320595964,55145.28902708809,-2664.424178871552,879.6073754600819,21695.84060384932
72,CA_San.Francisco.Intl,Market,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-391004.5731570871,-392190.2044559252,-1185.631298838125,-75324.44414629406,-56266.33009912135,19058.114047172712,17872.482748334587,-64940.38698078554,63754.75568194749,-1185.6312988380596,20.79952002432361,17893.282268358907
73,CA_San.Jose.Intl,Restaurant,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-487612.39350242616,-487754.75872274546,-142.36522031924687,-88461.66479120363,-65021.240883554005,23440.42390764963,23298.058687330387,-62625.25973544224,62482.89451512296,-142.36522031927598,1.533367120952455,23299.592054451343
74,CA_San.Jose.Intl,Hospital,10,0.032141,wholesale LMP,2000,500.0,0.05,1.0,0.92,0.5,24,12,-259793.3502825291,-259528.3381129041,265.01216962496983,-42863.6269914208,-36812.007504756686,6051.619486664109,6316.63165628908,-25256.760379374824,25521.772548999845,265.0121696250208,112.67934547835172,6429.311001767431
