runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv,$/kW,$/kWh
37,CA_San.Francisco.Intl,Office,20,0.10531,Retail,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-514086.6354,-153.800053,-269855.3521,-230991.5822,38863.76986,38709.96981,-38422.99617,38269.19612,-153.800053,2733.086377,41443.05619,0.05419,-10376.755,,
38,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-511400.3744,2532.460963,-269855.3521,-230991.5822,38863.76986,41396.23083,-38422.99617,40955.45713,2532.460963,74.98424117,41471.21507,0.05429,-10199.111,,
39,CA_San.Francisco.Intl,Office,20,0,None,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-511353.549,2579.286324,-269855.3521,-230991.5822,38863.76986,41443.05619,-38422.99617,41002.28249,2579.286324,0,41443.05619,0.05419,-10376.755,,
40,CA_San.Francisco.Intl,Office,20,0.10531,Retail,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-514067.5956,-134.760193,-269855.3521,-230991.5822,38863.76986,38729.00967,-38422.99617,38288.23598,-134.760193,2714.046517,41443.05619,0.05419,-10376.755,,
41,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-511400.3744,2532.460963,-269855.3521,-230991.5822,38863.76986,41396.23083,-38422.99617,40955.45713,2532.460963,74.98424117,41471.21507,0.05429,-10199.111,,
42,CA_San.Francisco.Intl,Office,20,0.15,Low flat,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-564806.372,-50873.53664,-269855.3521,-230991.5822,38863.76986,-12009.76678,-115237.3261,64363.78945,-50873.53664,57945.47262,45935.70584,0.06987,17965.726,,
43,CA_San.Francisco.Intl,Office,20,0,None,100,50,0.05,1,0.92,0.5,24,12,-513932.8354,-513193.9128,738.9225561,-269855.3521,-258023.1414,11832.21067,12571.13323,-3799.029486,4537.952042,738.9225561,0,12571.13323,0.30472,52124.094,,
44,CA_San.Francisco.Intl,Office,20,0,None,200,100,0.05,1,0.92,0.5,24,12,-513932.8354,-512722.9163,1209.919026,-269855.3521,-251767.358,18087.99413,19297.91316,-7532.026192,8741.945218,1209.919026,0,19297.91316,0.22378,67378.304,,
45,CA_San.Francisco.Intl,Office,20,0,None,300,150,0.05,1,0.92,0.5,24,12,-513932.8354,-512323.3977,1609.437708,-269855.3521,-247946.064,21909.28811,23518.72582,-11311.78643,12921.22414,1609.437708,0,23518.72582,0.17172,66823.283,,
46,CA_San.Francisco.Intl,Office,20,0,None,400,200,0.05,1,0.92,0.5,24,12,-513932.8354,-512022.8514,1909.983998,-269855.3521,-245068.1245,24787.22757,26697.21157,-15142.40372,17052.38772,1909.983998,0,26697.21157,0.13683,59692.603,,
47,CA_San.Francisco.Intl,Office,20,0,None,500,250,0.05,1,0.92,0.5,24,12,-513932.8354,-511813.0769,2119.758429,-269855.3521,-242476.0534,27379.29866,29499.05709,-18989.41618,21109.17461,2119.758429,0,29499.05709,0.11276,50185.839,,
48,CA_San.Francisco.Intl,Office,20,0,None,600,300,0.05,1,0.92,0.5,24,12,-513932.8354,-511677.5017,2255.333666,-269855.3521,-240039.4156,29815.9365,32071.27016,-22883.28638,25138.62004,2255.333666,0,32071.27016,0.09496,39230.407,,
49,CA_San.Francisco.Intl,Office,20,0,None,700,350,0.05,1,0.92,0.5,24,12,-513932.8354,-511568.7014,2364.133981,-269855.3521,-237687.8721,32167.48003,34531.61401,-26757.29894,29121.43293,2364.133981,0,34531.61401,0.08136,27569.233,,
