runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv
32,CA_Bakersfield-Meadows.Field.723840_TMY3,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-464307.1444338429,-462757.5091919177,1549.6352419251925,-169047.49883688212,-142037.55908891573,27009.9397479664,28559.574989891582,-27273.321942434082,28822.957184359297,1549.6352419252146,0.0,28559.5749898916,0.07553,17076.408
33,CA_Bakersfield-Meadows.Field.723840_TMY3,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-658853.2464909905,-655047.0437587344,3806.202732256148,-391422.40834581904,-353155.00887510204,38267.39947071706,42073.60220297321,-21891.146551708083,25697.34928396413,3806.20273225605,0.0,42073.60220297311,0.14709,102331.457
34,CA_Bakersfield-Meadows.Field.723840_TMY3,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-377598.80452456477,-373373.31957298843,4225.484951576334,-151362.88409263437,-115311.11781107931,36051.766281555065,40277.251233131385,-25009.66919298063,29235.154144556942,4225.484951576316,0.0,40277.251233131385,0.13801,90998.937
35,CA_Bakersfield-Meadows.Field.723840_TMY3,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-323762.62945619033,-322055.1958148162,1707.4336413741116,-169347.2490846134,-143816.22628675675,25531.02279785665,27238.456439230766,-23042.192098680094,24749.62574005415,1707.4336413740493,0.0,27238.456439230704,0.06802000000000001,8741.955
36,CA_Bakersfield-Meadows.Field.723840_TMY3,Market,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-387398.0880969804,-386011.1575663544,1386.9305306259776,-153104.8763101109,-133206.67007642775,19898.206233683188,21285.136764309165,-23566.388141692925,24953.318672318936,1386.9305306260105,0.0,21285.136764309198,0.032330000000000005,-28846.083
37,CA_Barstow.Daggett,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-525116.9406369933,-522922.61559913773,2194.3250378555967,-194456.66210966426,-163957.4335812847,30499.228528379517,32693.55356623512,-25546.594103524738,27740.919141380324,2194.325037855582,0.0,32693.553566235103,0.09833,43156.165
38,CA_Barstow.Daggett,Hospital,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-247794.10046292664,-247711.91815985192,82.18230307471822,-82944.13972276963,-71261.0279754861,11683.111747283532,11765.29405035825,-19928.89998606821,20011.08228914295,82.18230307474005,0.0,11765.294050358272,-0.04593,-95629.656
39,CA_Barstow.Daggett,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-321550.7940958212,-319494.68241328205,2056.1116825391655,-117386.3114305098,-83342.86647580855,34043.44495470125,36099.556637240414,-29574.482113772563,31630.59379631173,2056.111682539169,0.0,36099.556637240414,0.11644000000000004,64643.390999999996
40,CA_Barstow.Daggett,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-507480.4680640833,-506214.92253337643,1265.545530706877,-248090.35900782852,-219024.9348611516,29065.424146676934,30330.969677383808,-23282.154731828774,24547.700262535684,1265.5455307068987,0.0,30330.969677383837,0.08542999999999999,28251.488
41,CA_Barstow.Daggett,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-428681.04986257077,-425636.0851564748,3044.9647060960415,-262403.9814496575,-222330.1199622451,40073.86148741242,43118.82619350846,-22725.57250236583,25770.5372084619,3044.9647060960706,0.0,43118.82619350849,0.15233,108925.39300000001
42,CA_Barstow.Daggett,Apartment,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-342046.06575389183,-336804.0482749673,5242.017478924478,-143996.27435486106,-112342.22019684847,31654.05415801257,36896.07163693705,-21544.793114284763,26786.81059320916,5242.017478924389,0.0,36896.07163693696,0.12061,69668.313
43,CA_Barstow.Daggett,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-401245.4470271512,-398641.7076052057,2603.739421945531,-242388.4684499521,-212708.5135248536,29679.954925098515,32283.69434704405,-22213.15604968725,24816.895471632797,2603.739421945542,0.0,32283.694347044056,0.09612000000000001,40570.513
44,CA_Barstow.Daggett,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-478921.1010597941,-477805.104338506,1115.9967212881893,-172342.1112034801,-145856.42372510195,26485.687478378153,27601.684199666342,-27724.14332739253,28840.140048680718,1115.9967212881784,0.0,27601.68419966633,0.0701,11033.426
45,CA_Barstow.Daggett,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-626813.60614062,-623929.439551116,2884.1665895041083,-354642.1977925572,-320059.24772375816,34582.95006879902,37467.11665830313,-22219.68386697674,25103.85045648085,2884.166589504104,0.0,37467.11665830313,0.12357,73270.827
46,CA_Barstow.Daggett,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-374053.7998623568,-370157.3735163261,3896.426346030669,-148894.61106429074,-112500.94862572716,36393.66243856362,40290.088784594285,-25485.97837051941,29382.404716550067,3896.426346030661,0.0,40290.08878459427,0.13807,91079.924
47,CA_Barstow.Daggett,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-336693.4233999722,-335188.60348302504,1504.8199169471627,-175648.77061118765,-149075.9531427445,26572.817468443158,28077.637385390317,-22960.24876010937,24465.068677056523,1504.8199169471518,0.0,28077.637385390302,0.07281,14036.04
48,CA_Barstow.Daggett,Market,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-402936.88098922523,-401805.7652276593,1131.1157615659174,-162010.09966210168,-140720.5937801825,21289.505881919147,22420.621643485065,-23495.01202770522,24626.12778927112,1131.1157615658994,0.0,22420.62164348505,0.03943,-21652.001
49,CA_Beale.AFB.724837_TMY3,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-499842.8758078602,-498497.6339375358,1345.2418703243602,-186656.13999593625,-155334.56219894698,31321.57779698918,32666.81966731353,-26917.508104784214,28262.74997510855,1345.2418703243275,0.0,32666.819667313506,0.09819,42987.511
50,CA_Beale.AFB.724837_TMY3,Hospital,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-247107.9811920993,-246999.72190654185,108.25928555746214,-82048.4850228994,-70889.6793340604,11158.805688838998,11267.06497439646,-19972.3168311172,20080.576116674703,108.25928555750215,0.0,11267.064974396499,-0.05152,-99608.321
